log_id,campaign_id,billboard_id,device_id,exposure_time
CL0423,CMP002,BB002,D012,2026-01-06 06:12:17
CL0169,CMP001,BB046,D082,2026-01-06 06:35:04
CL0406,CMP001,BB025,D035,2026-01-06 10:00:39
CL0638,CMP004,BB086,D065,2026-01-06 10:01:47
CL0262,CMP001,BB026,D054,2026-01-06 10:19:10
CL0918,CMP001,BB033,D088,2026-01-06 11:57:53
CL0854,CMP003,BB042,D051,2026-01-06 12:06:13
CL0473,CMP001,BB053,D080,2026-01-06 15:13:05
CL0755,CMP004,BB054,D014,2026-01-06 16:17:44
CL0339,CMP003,BB053,D089,2026-01-06 16:56:28
CL0601,CMP004,BB010,D024,2026-01-06 17:58:40
CL0958,CMP005,BB010,D083,2026-01-06 18:17:56
CL0942,CMP003,BB055,D012,2026-01-06 18:29:27
CL0359,CMP005,BB064,D009,2026-01-06 19:55:38
CL0451,CMP003,BB022,D073,2026-01-06 21:19:33
CL0153,CMP005,BB071,D054,2026-01-06 22:13:09
CL0793,CMP002,BB017,D029,2026-01-07 00:12:10
CL0868,CMP003,BB087,D038,2026-01-07 02:37:21
CL0482,CMP005,BB033,D046,2026-01-07 02:38:50
CL0791,CMP004,BB007,D064,2026-01-07 05:50:15
CL0563,CMP003,BB026,D039,2026-01-07 07:52:54
CL0351,CMP005,BB059,D069,2026-01-07 08:25:24
CL0602,CMP003,BB045,D090,2026-01-07 09:45:15
CL0981,CMP004,BB042,D013,2026-01-07 09:57:37
CL0199,CMP002,BB089,D041,2026-01-07 11:53:13
CL0489,CMP003,BB066,D065,2026-01-07 12:04:49
CL0216,CMP004,BB010,D053,2026-01-07 14:34:52
CL0504,CMP005,BB080,D008,2026-01-07 16:32:01
CL0450,CMP001,BB086,D093,2026-01-07 17:04:05
CL0053,CMP001,BB090,D058,2026-01-07 19:54:16
CL0239,CMP001,BB061,D043,2026-01-07 20:40:12
CL0178,CMP002,BB067,D080,2026-01-07 21:03:57
CL0020,CMP005,BB042,D044,2026-01-07 22:48:31
CL0388,CMP001,BB086,D045,2026-01-07 23:00:39
CL0741,CMP003,BB058,D021,2026-01-07 23:11:05
CL0313,CMP005,BB054,D006,2026-01-07 23:27:34
CL0724,CMP001,BB031,D021,2026-01-08 03:45:07
CL0652,CMP005,BB018,D070,2026-01-08 03:56:17
CL0698,CMP004,BB026,D058,2026-01-08 10:28:51
CL0427,CMP005,BB059,D070,2026-01-08 15:03:44
CL0276,CMP001,BB010,D085,2026-01-08 16:59:05
CL0487,CMP005,BB033,D055,2026-01-08 19:17:41
CL0337,CMP001,BB049,D019,2026-01-08 23:48:15
CL0520,CMP002,BB090,D072,2026-01-09 00:57:35
CL0901,CMP001,BB061,D077,2026-01-09 02:05:27
CL0895,CMP001,BB053,D059,2026-01-09 04:48:39
CL0960,CMP005,BB068,D025,2026-01-09 08:28:51
CL0542,CMP001,BB058,D024,2026-01-09 08:35:22
CL0079,CMP003,BB081,D012,2026-01-09 10:34:42
CL0145,CMP001,BB023,D009,2026-01-09 15:15:34
CL0235,CMP005,BB033,D057,2026-01-09 19:59:13
CL0416,CMP003,BB090,D020,2026-01-09 21:52:35
CL0623,CMP003,BB049,D006,2026-01-09 22:07:20
CL0106,CMP005,BB033,D067,2026-01-09 22:48:52
CL0497,CMP001,BB090,D055,2026-01-09 23:03:10
CL0877,CMP001,BB059,D084,2026-01-09 23:23:58
CL0802,CMP001,BB072,D091,2026-01-10 01:29:09
CL0535,CMP002,BB066,D023,2026-01-10 02:46:59
CL0726,CMP002,BB026,D050,2026-01-10 03:13:36
CL0391,CMP005,BB014,D008,2026-01-10 05:02:35
CL0899,CMP005,BB041,D071,2026-01-10 05:47:20
CL0778,CMP002,BB010,D030,2026-01-10 07:01:06
CL0289,CMP002,BB026,D055,2026-01-10 08:24:53
CL0562,CMP001,BB023,D031,2026-01-10 08:26:54
CL0817,CMP001,BB020,D067,2026-01-10 10:06:09
CL0555,CMP004,BB056,D067,2026-01-10 10:20:57
CL0893,CMP005,BB086,D065,2026-01-10 15:57:51
CL0575,CMP002,BB012,D027,2026-01-10 16:12:55
CL0338,CMP001,BB090,D010,2026-01-10 21:46:14
CL0174,CMP003,BB086,D045,2026-01-10 22:10:37
CL0101,CMP001,BB059,D006,2026-01-10 23:06:43
CL0293,CMP001,BB022,D008,2026-01-10 23:29:00
CL0743,CMP001,BB013,D047,2026-01-11 03:33:50
CL0018,CMP002,BB049,D001,2026-01-11 06:42:42
CL0552,CMP002,BB072,D026,2026-01-11 10:57:38
CL0731,CMP003,BB015,D027,2026-01-11 11:18:37
CL0953,CMP004,BB083,D073,2026-01-11 14:08:09
CL0271,CMP003,BB012,D092,2026-01-11 14:44:56
CL0146,CMP004,BB054,D093,2026-01-11 16:52:55
CL0172,CMP001,BB029,D092,2026-01-11 19:32:44
CL0810,CMP004,BB080,D082,2026-01-11 23:00:43
CL0326,CMP005,BB068,D009,2026-01-11 23:07:01
CL0921,CMP005,BB086,D089,2026-01-12 00:16:23
CL0805,CMP001,BB020,D017,2026-01-12 00:33:22
CL0983,CMP001,BB043,D076,2026-01-12 00:37:11
CL0252,CMP005,BB080,D051,2026-01-12 01:56:23
CL0003,CMP002,BB011,D060,2026-01-12 14:38:54
CL0927,CMP003,BB089,D059,2026-01-12 17:17:04
CL0492,CMP001,BB020,D072,2026-01-12 18:20:32
CL0082,CMP001,BB056,D040,2026-01-12 20:06:44
CL0938,CMP001,BB008,D053,2026-01-12 23:56:49
CL0371,CMP005,BB021,D025,2026-01-13 00:00:32
CL0813,CMP005,BB020,D094,2026-01-13 02:00:41
CL0310,CMP001,BB035,D044,2026-01-13 02:19:11
CL0671,CMP003,BB056,D064,2026-01-13 03:31:08
CL0001,CMP004,BB087,D002,2026-01-13 03:40:17
CL0814,CMP004,BB025,D085,2026-01-13 04:35:22
CL0744,CMP002,BB007,D033,2026-01-13 08:05:33
CL0303,CMP002,BB022,D051,2026-01-13 09:20:55
CL0055,CMP004,BB012,D068,2026-01-13 11:12:07
CL0333,CMP004,BB031,D053,2026-01-13 11:21:20
CL0593,CMP003,BB064,D049,2026-01-13 12:50:18
CL0343,CMP005,BB067,D095,2026-01-13 13:05:14
CL0843,CMP003,BB049,D041,2026-01-13 13:32:17
CL0019,CMP002,BB042,D012,2026-01-13 23:27:17
CL0978,CMP004,BB043,D062,2026-01-13 23:33:34
CL0219,CMP004,BB020,D072,2026-01-14 01:21:22
CL0139,CMP005,BB013,D027,2026-01-14 01:31:15
CL0816,CMP001,BB090,D028,2026-01-14 01:44:17
CL0068,CMP001,BB020,D057,2026-01-14 05:39:47
CL0948,CMP002,BB043,D025,2026-01-14 08:26:14
CL0795,CMP001,BB010,D030,2026-01-14 13:23:07
CL0144,CMP004,BB067,D093,2026-01-15 00:41:36
CL0907,CMP005,BB066,D052,2026-01-15 03:12:17
CL0862,CMP004,BB041,D068,2026-01-15 05:58:57
CL0609,CMP001,BB082,D047,2026-01-15 07:59:50
CL0618,CMP004,BB056,D040,2026-01-15 09:13:46
CL0189,CMP002,BB072,D068,2026-01-15 10:28:43
CL0909,CMP002,BB054,D045,2026-01-15 17:16:28
CL0119,CMP005,BB054,D070,2026-01-15 19:20:53
CL0261,CMP001,BB008,D085,2026-01-15 22:53:00
CL0999,CMP003,BB010,D083,2026-01-15 23:59:20
CL0357,CMP004,BB055,D073,2026-01-16 01:07:39
CL0366,CMP003,BB038,D076,2026-01-16 02:16:39
CL0875,CMP002,BB033,D033,2026-01-16 05:41:05
CL0690,CMP001,BB053,D065,2026-01-16 06:51:44
CL0905,CMP003,BB041,D027,2026-01-16 10:01:27
CL0044,CMP004,BB039,D091,2026-01-16 10:50:23
CL0792,CMP001,BB007,D058,2026-01-16 15:17:47
CL0129,CMP001,BB080,D043,2026-01-16 19:50:09
CL0630,CMP005,BB059,D059,2026-01-16 20:31:39
CL0117,CMP005,BB012,D066,2026-01-16 21:15:37
CL0888,CMP004,BB045,D061,2026-01-16 22:53:48
CL0352,CMP002,BB066,D075,2026-01-16 23:06:07
CL0637,CMP004,BB059,D080,2026-01-16 23:23:41
CL0523,CMP002,BB022,D013,2026-01-17 00:25:07
CL0920,CMP004,BB038,D062,2026-01-17 00:27:03
CL0822,CMP003,BB071,D064,2026-01-17 02:33:05
CL0653,CMP005,BB083,D043,2026-01-17 06:55:11
CL0734,CMP005,BB088,D011,2026-01-17 08:53:52
CL0246,CMP004,BB040,D092,2026-01-17 12:19:16
CL0319,CMP005,BB065,D035,2026-01-17 13:03:58
CL0651,CMP002,BB011,D027,2026-01-17 14:50:35
CL0513,CMP001,BB015,D038,2026-01-17 18:38:34
CL0363,CMP005,BB088,D066,2026-01-17 20:19:18
CL0467,CMP001,BB065,D085,2026-01-18 02:32:44
CL0579,CMP004,BB071,D054,2026-01-18 07:42:10
CL0094,CMP003,BB066,D075,2026-01-18 08:08:54
CL0997,CMP005,BB037,D082,2026-01-18 09:09:02
CL0916,CMP004,BB054,D069,2026-01-18 13:12:43
CL0086,CMP002,BB020,D079,2026-01-18 16:05:16
CL0292,CMP002,BB081,D073,2026-01-18 19:10:37
CL0010,CMP005,BB020,D086,2026-01-18 19:48:07
CL0839,CMP005,BB020,D007,2026-01-18 21:11:32
CL0084,CMP001,BB087,D029,2026-01-18 22:53:44
CL0476,CMP003,BB067,D075,2026-01-19 00:16:51
CL0331,CMP002,BB090,D033,2026-01-19 01:10:01
CL0679,CMP005,BB071,D040,2026-01-19 01:47:02
CL0712,CMP004,BB010,D034,2026-01-19 01:51:31
CL0538,CMP003,BB077,D031,2026-01-19 04:34:19
CL0418,CMP005,BB086,D006,2026-01-19 04:50:09
CL0410,CMP004,BB077,D024,2026-01-19 04:58:34
CL0317,CMP004,BB020,D048,2026-01-19 10:30:57
CL0674,CMP003,BB039,D071,2026-01-19 10:50:46
CL0377,CMP001,BB017,D061,2026-01-19 15:26:20
CL0498,CMP004,BB049,D093,2026-01-19 15:29:47
CL0702,CMP002,BB071,D033,2026-01-19 17:15:35
CL0961,CMP001,BB011,D038,2026-01-19 19:36:44
CL0644,CMP001,BB061,D051,2026-01-19 23:57:44
CL0646,CMP005,BB020,D088,2026-01-20 03:55:25
CL0475,CMP005,BB071,D055,2026-01-20 04:52:03
CL0797,CMP003,BB046,D008,2026-01-20 05:16:04
CL0037,CMP003,BB007,D058,2026-01-20 08:58:49
CL0221,CMP002,BB086,D023,2026-01-20 09:09:22
CL0056,CMP003,BB008,D053,2026-01-20 12:43:09
CL0585,CMP003,BB039,D005,2026-01-20 14:00:10
CL0680,CMP005,BB041,D027,2026-01-20 20:25:46
CL0075,CMP002,BB071,D072,2026-01-20 20:29:33
CL0549,CMP004,BB071,D081,2026-01-20 21:21:15
CL0821,CMP004,BB046,D036,2026-01-20 23:32:23
CL0884,CMP002,BB059,D084,2026-01-21 02:08:23
CL0664,CMP002,BB064,D009,2026-01-21 03:54:16
CL0973,CMP005,BB056,D055,2026-01-21 04:41:22
CL0886,CMP003,BB002,D043,2026-01-21 05:11:14
CL0759,CMP002,BB040,D042,2026-01-21 06:46:47
CL0699,CMP002,BB054,D016,2026-01-21 10:59:26
CL0947,CMP003,BB056,D040,2026-01-21 12:49:55
CL0062,CMP003,BB007,D054,2026-01-21 13:09:55
CL0928,CMP001,BB049,D065,2026-01-21 15:44:23
CL0309,CMP003,BB054,D041,2026-01-21 19:34:04
CL0632,CMP001,BB056,D046,2026-01-21 22:42:49
CL0931,CMP001,BB066,D080,2026-01-21 23:01:28
CL0900,CMP005,BB020,D028,2026-01-22 00:07:20
CL0851,CMP002,BB068,D015,2026-01-22 06:14:26
CL0471,CMP004,BB049,D006,2026-01-22 10:02:21
CL0328,CMP005,BB067,D070,2026-01-22 14:16:13
CL0624,CMP004,BB031,D083,2026-01-22 15:58:06
CL0389,CMP001,BB061,D077,2026-01-22 19:19:56
CL0411,CMP003,BB059,D014,2026-01-22 21:52:12
CL0332,CMP005,BB056,D050,2026-01-23 00:41:08
CL0968,CMP004,BB025,D009,2026-01-23 01:05:07
CL0148,CMP001,BB042,D012,2026-01-23 01:39:20
CL0042,CMP004,BB090,D028,2026-01-23 02:42:26
CL0853,CMP001,BB089,D014,2026-01-23 06:14:39
CL0277,CMP004,BB066,D052,2026-01-23 11:19:27
CL0405,CMP002,BB039,D091,2026-01-23 11:26:06
CL0628,CMP003,BB045,D092,2026-01-23 14:27:43
CL0263,CMP005,BB033,D086,2026-01-23 14:34:54
CL0546,CMP004,BB065,D076,2026-01-23 15:55:08
CL0693,CMP002,BB014,D012,2026-01-23 16:11:43
CL0491,CMP005,BB053,D056,2026-01-23 16:59:39
CL0404,CMP001,BB071,D010,2026-01-23 19:08:43
CL0604,CMP005,BB054,D006,2026-01-23 21:51:22
CL0760,CMP001,BB017,D063,2026-01-24 03:10:17
CL0501,CMP004,BB055,D051,2026-01-24 03:15:32
CL0157,CMP005,BB083,D003,2026-01-24 04:00:04
CL0230,CMP004,BB031,D024,2026-01-24 08:19:11
CL0051,CMP003,BB031,D025,2026-01-24 09:29:38
CL0190,CMP004,BB007,D017,2026-01-24 09:57:14
CL0691,CMP003,BB086,D075,2026-01-24 11:03:27
CL0758,CMP003,BB067,D069,2026-01-24 13:08:53
CL0295,CMP005,BB053,D016,2026-01-24 15:11:49
CL0439,CMP001,BB089,D056,2026-01-24 16:21:29
CL0509,CMP004,BB089,D069,2026-01-24 17:29:37
CL0627,CMP003,BB049,D014,2026-01-24 17:32:10
CL0490,CMP005,BB025,D015,2026-01-24 18:13:31
CL0211,CMP003,BB071,D017,2026-01-24 20:59:10
CL0392,CMP002,BB049,D019,2026-01-24 23:07:46
CL0757,CMP005,BB090,D010,2026-01-25 00:16:21
CL0402,CMP004,BB037,D012,2026-01-25 04:31:56
CL0729,CMP003,BB023,D015,2026-01-25 07:12:57
CL0577,CMP003,BB024,D038,2026-01-25 08:46:12
CL0564,CMP002,BB064,D062,2026-01-25 08:51:00
CL0811,CMP002,BB055,D013,2026-01-25 10:57:14
CL0515,CMP004,BB071,D033,2026-01-25 12:51:01
CL0413,CMP001,BB043,D035,2026-01-25 14:23:05
CL0143,CMP001,BB053,D074,2026-01-25 14:55:36
CL0096,CMP004,BB022,D077,2026-01-25 15:23:32
CL0170,CMP003,BB086,D045,2026-01-25 15:24:18
CL0808,CMP001,BB061,D043,2026-01-25 18:27:30
CL0560,CMP001,BB081,D018,2026-01-25 20:22:31
CL0869,CMP003,BB066,D004,2026-01-25 23:33:00
CL0417,CMP005,BB007,D028,2026-01-26 01:01:24
CL0013,CMP005,BB010,D022,2026-01-26 05:52:40
CL0645,CMP005,BB063,D011,2026-01-26 09:48:59
CL0836,CMP005,BB071,D094,2026-01-26 12:18:22
CL0426,CMP001,BB025,D009,2026-01-26 13:13:26
CL0666,CMP005,BB033,D007,2026-01-26 13:47:38
CL0915,CMP002,BB008,D035,2026-01-26 14:49:07
CL0625,CMP004,BB020,D010,2026-01-26 18:10:35
CL0240,CMP002,BB067,D089,2026-01-26 18:51:11
CL0118,CMP001,BB007,D020,2026-01-26 19:25:16
CL0544,CMP005,BB035,D036,2026-01-26 20:03:27
CL0196,CMP001,BB018,D069,2026-01-26 21:19:24
CL0017,CMP003,BB035,D077,2026-01-27 01:04:21
CL0701,CMP005,BB045,D066,2026-01-27 01:43:19
CL0923,CMP005,BB071,D058,2026-01-27 02:14:26
CL0330,CMP005,BB090,D020,2026-01-27 04:43:04
CL0431,CMP004,BB017,D005,2026-01-27 09:16:23
CL0835,CMP005,BB077,D021,2026-01-27 11:40:17
CL0167,CMP002,BB086,D056,2026-01-27 14:21:07
CL0237,CMP002,BB033,D058,2026-01-27 14:26:43
CL0282,CMP005,BB035,D082,2026-01-27 18:50:30
CL0804,CMP004,BB020,D032,2026-01-27 19:15:17
CL0032,CMP001,BB033,D094,2026-01-27 21:53:05
CL0950,CMP002,BB072,D002,2026-01-28 00:10:09
CL0685,CMP004,BB064,D031,2026-01-28 01:45:49
CL0241,CMP002,BB015,D063,2026-01-28 02:29:24
CL0430,CMP005,BB041,D002,2026-01-28 04:50:27
CL0115,CMP002,BB090,D032,2026-01-28 05:41:01
CL0030,CMP005,BB083,D073,2026-01-28 12:10:20
CL0597,CMP004,BB071,D037,2026-01-28 12:24:32
CL0071,CMP005,BB015,D090,2026-01-28 14:22:14
CL0429,CMP004,BB045,D091,2026-01-28 15:36:29
CL0742,CMP003,BB013,D092,2026-01-28 17:39:34
CL0445,CMP005,BB084,D066,2026-01-28 19:43:18
CL0215,CMP005,BB021,D083,2026-01-28 22:46:12
CL0732,CMP001,BB007,D017,2026-01-29 00:37:47
CL0812,CMP005,BB071,D079,2026-01-29 02:31:24
CL0184,CMP003,BB066,D041,2026-01-29 05:57:15
CL0171,CMP004,BB055,D082,2026-01-29 07:47:17
CL0367,CMP003,BB026,D040,2026-01-29 08:28:43
CL0946,CMP002,BB089,D001,2026-01-29 09:40:43
CL0480,CMP004,BB083,D077,2026-01-29 11:07:40
CL0369,CMP004,BB040,D090,2026-01-29 20:43:43
CL0400,CMP003,BB055,D008,2026-01-30 00:21:01
CL0097,CMP002,BB018,D070,2026-01-30 02:39:19
CL0195,CMP005,BB007,D081,2026-01-30 11:42:10
CL0998,CMP004,BB035,D003,2026-01-30 13:10:38
CL0714,CMP001,BB065,D053,2026-01-30 13:48:29
CL0557,CMP003,BB020,D046,2026-01-30 16:17:35
CL0301,CMP002,BB007,D086,2026-01-30 19:42:08
CL0599,CMP005,BB081,D077,2026-01-30 19:59:44
CL0554,CMP004,BB087,D090,2026-01-30 23:36:46
CL0224,CMP003,BB053,D006,2026-01-31 04:53:25
CL0725,CMP002,BB089,D059,2026-01-31 05:02:25
CL0846,CMP002,BB024,D061,2026-01-31 05:02:52
CL0130,CMP005,BB088,D090,2026-01-31 10:08:10
CL0435,CMP001,BB026,D086,2026-01-31 12:28:41
CL0414,CMP004,BB064,D035,2026-01-31 12:38:49
CL0428,CMP002,BB035,D013,2026-01-31 20:32:04
CL0894,CMP004,BB033,D067,2026-01-31 20:59:12
CL0503,CMP004,BB065,D030,2026-01-31 21:15:28
CL0790,CMP003,BB064,D076,2026-02-01 01:56:39
CL0464,CMP005,BB071,D088,2026-02-01 03:09:14
CL0058,CMP003,BB090,D017,2026-02-01 05:00:10
CL0443,CMP005,BB080,D012,2026-02-01 06:25:16
CL0446,CMP005,BB037,D043,2026-02-01 07:32:19
CL0021,CMP004,BB071,D094,2026-02-01 08:22:37
CL0707,CMP004,BB089,D056,2026-02-01 11:09:41
CL0904,CMP002,BB056,D040,2026-02-01 11:16:10
CL0484,CMP001,BB042,D013,2026-02-01 13:06:03
CL0091,CMP001,BB021,D035,2026-02-01 15:05:15
CL0855,CMP001,BB055,D078,2026-02-01 15:46:18
CL0415,CMP001,BB083,D008,2026-02-01 16:12:46
CL0911,CMP005,BB084,D002,2026-02-01 16:25:09
CL0142,CMP004,BB054,D052,2026-02-01 16:41:30
CL0626,CMP003,BB082,D005,2026-02-01 17:27:44
CL0238,CMP004,BB084,D027,2026-02-01 17:28:48
CL0078,CMP004,BB041,D026,2026-02-01 22:56:09
CL0687,CMP003,BB040,D026,2026-02-02 03:00:12
CL0422,CMP004,BB025,D015,2026-02-02 05:04:34
CL0251,CMP002,BB059,D089,2026-02-02 07:06:56
CL0908,CMP003,BB077,D034,2026-02-02 10:15:11
CL0483,CMP005,BB071,D046,2026-02-02 11:30:53
CL0290,CMP001,BB055,D018,2026-02-02 19:24:03
CL0342,CMP003,BB011,D061,2026-02-02 19:42:35
CL0914,CMP003,BB042,D087,2026-02-02 20:32:20
CL0083,CMP003,BB061,D077,2026-02-02 23:37:09
CL0774,CMP005,BB033,D072,2026-02-03 00:54:23
CL0182,CMP003,BB054,D075,2026-02-03 03:08:57
CL0502,CMP001,BB018,D045,2026-02-03 06:29:44
CL0014,CMP004,BB077,D034,2026-02-03 06:38:16
CL0066,CMP002,BB054,D006,2026-02-03 09:09:07
CL0910,CMP003,BB071,D020,2026-02-03 09:54:09
CL0860,CMP001,BB066,D056,2026-02-03 12:29:56
CL0355,CMP002,BB017,D090,2026-02-03 13:12:33
CL0265,CMP005,BB011,D091,2026-02-03 13:24:40
CL0786,CMP004,BB054,D014,2026-02-03 14:58:29
CL0943,CMP004,BB056,D058,2026-02-03 17:06:37
CL0253,CMP003,BB014,D044,2026-02-03 19:06:37
CL0505,CMP004,BB063,D029,2026-02-04 01:21:18
CL0838,CMP004,BB086,D041,2026-02-04 01:35:00
CL0694,CMP002,BB026,D028,2026-02-04 02:34:16
CL0596,CMP004,BB021,D009,2026-02-04 03:11:12
CL0228,CMP001,BB080,D018,2026-02-04 05:01:02
CL0605,CMP005,BB013,D027,2026-02-04 06:30:15
CL0382,CMP005,BB046,D003,2026-02-04 08:34:15
CL0099,CMP001,BB071,D010,2026-02-04 10:03:50
CL0325,CMP001,BB067,D080,2026-02-04 10:23:37
CL0123,CMP001,BB020,D055,2026-02-04 10:54:21
CL0717,CMP004,BB042,D044,2026-02-04 11:05:45
CL0865,CMP003,BB026,D086,2026-02-04 11:53:00
CL0176,CMP004,BB068,D030,2026-02-04 14:38:35
CL0231,CMP003,BB008,D021,2026-02-04 19:35:35
CL0486,CMP002,BB007,D072,2026-02-04 21:28:43
CL0203,CMP002,BB037,D018,2026-02-05 01:51:32
CL0458,CMP002,BB014,D044,2026-02-05 03:20:46
CL0425,CMP002,BB058,D015,2026-02-05 03:53:09
CL0080,CMP004,BB054,D041,2026-02-05 05:57:14
CL0305,CMP004,BB034,D053,2026-02-05 06:38:43
CL0444,CMP003,BB002,D018,2026-02-05 07:58:29
CL0383,CMP003,BB008,D035,2026-02-05 09:27:54
CL0576,CMP002,BB068,D076,2026-02-05 11:57:38
CL0477,CMP001,BB043,D015,2026-02-05 14:32:13
CL0815,CMP005,BB035,D087,2026-02-05 15:42:03
CL0258,CMP001,BB059,D056,2026-02-05 16:15:27
CL0353,CMP001,BB065,D030,2026-02-05 20:24:50
CL0926,CMP003,BB007,D058,2026-02-05 21:59:35
CL0114,CMP002,BB033,D050,2026-02-06 02:37:33
CL0967,CMP005,BB067,D052,2026-02-06 03:26:43
CL0135,CMP003,BB020,D072,2026-02-06 04:12:38
CL0912,CMP005,BB059,D070,2026-02-06 06:06:31
CL0799,CMP003,BB072,D066,2026-02-06 11:26:01
CL0299,CMP002,BB090,D037,2026-02-06 15:37:14
CL0683,CMP001,BB037,D012,2026-02-06 17:38:14
CL0194,CMP004,BB010,D024,2026-02-06 21:21:08
CL0829,CMP005,BB064,D015,2026-02-06 23:40:10
CL0316,CMP005,BB071,D037,2026-02-07 01:08:15
CL0022,CMP005,BB090,D064,2026-02-07 01:35:52
CL0772,CMP001,BB066,D004,2026-02-07 01:57:22
CL0553,CMP005,BB083,D077,2026-02-07 06:00:34
CL0287,CMP005,BB038,D083,2026-02-07 08:42:18
CL0541,CMP004,BB067,D014,2026-02-07 09:41:47
CL0696,CMP005,BB086,D089,2026-02-07 15:32:09
CL0024,CMP001,BB007,D054,2026-02-07 16:02:14
CL0592,CMP003,BB021,D083,2026-02-08 08:48:14
CL0974,CMP002,BB056,D079,2026-02-08 09:13:59
CL0285,CMP003,BB078,D002,2026-02-08 10:57:43
CL0776,CMP002,BB010,D053,2026-02-08 11:10:37
CL0641,CMP002,BB037,D012,2026-02-08 16:20:15
CL0375,CMP001,BB013,D005,2026-02-08 17:04:42
CL0210,CMP002,BB033,D064,2026-02-08 19:01:58
CL0420,CMP005,BB054,D084,2026-02-08 19:32:55
CL0571,CMP003,BB059,D074,2026-02-08 21:08:49
CL0789,CMP004,BB012,D026,2026-02-08 22:04:40
CL0607,CMP004,BB053,D070,2026-02-09 02:05:04
